key,ru,en
welcome_message,"Привет! Я бот для обмена криптовалют.","Hello! I'm a crypto exchange bot."
help_message,"Доступные команды:\n/start - начать работу\n/help - показать помощь","Available commands:\n/start - start\n/help - show help"
open_app_button,"🔄 Открыть обменник","🔄 Open Exchange"
profile_button,"👤 Профиль","👤 Profile"
profile_title,"👤 Ваш профиль","👤 Your profile"
profile_fio,"📝 ФИО","📝 Full name"
profile_phone,"📱 Телефон","📱 Phone"
profile_email,"📧 E-mail","📧 E-mail"
profile_not_set,"не указано","not set"
profile_edit,"✏️ Редактировать","✏️ Edit"
profile_back,"◀️ Назад","◀️ Back"
profile_cancel,"❌ Отмена","❌ Cancel"
profile_enter_fio,"Введите ФИО:","Enter your full name:"
profile_enter_phone,"Введите номер телефона:","Enter phone number:"
profile_enter_email,"Введите e-mail:","Enter e-mail:"
profile_saved,"✅ Сохранено!","✅ Saved!"
profile_invalid_phone,"❌ Некорректный номер телефона. Попробуйте ещё раз:","❌ Invalid phone number. Try again:"
profile_invalid_email,"❌ Некорректный e-mail. Попробуйте ещё раз:","❌ Invalid e-mail. Try again:"
